itemID,due_date,order_release,batch_size
1,3183.267874196008,592.2678741960078,26
2,6203.237340983946,743.2373409839456,119
3,20580.663856035007,6343.6638560350075,170
4,2265.101486406784,438.1014864067836,15
5,2478.8660357949802,417.86603579498,15
1,3593.4248708011187,982.4248708011187,37
2,9309.673006985784,2357.673006985785,91
3,24639.131911937096,9220.131911937095,167
4,5210.418121873027,3592.4181218730273,17
5,2729.3298856664887,819.3298856664885,35
1,3305.724103248587,1503.7241032485874,33
2,6361.1871002773605,4256.1871002773605,63
3,15338.126612246482,9667.126612246482,95
4,6422.50648555723,4671.50648555723,11
5,4791.8379427061955,2910.8379427061955,17
1,4497.135325841519,2584.1353258415193,31
2,14014.189887330354,7025.189887330355,133
3,21262.931982799008,14200.931982799008,111
4,8324.101690303469,6078.101690303468,15
5,5272.154676545186,3480.1546765451862,26
1,5182.35538217865,3026.3553821786504,29
2,13929.788215024402,8740.788215024402,133
3,29218.192811042576,16349.192811042576,164
4,8204.671886156284,6534.671886156285,20
5,6399.758619552201,5058.758619552201,25
1,7032.6377193474345,3092.637719347435,37
2,17849.62111185775,10408.621111857747,101
3,27112.69409962253,16742.69409962253,124
4,7815.650497002852,6941.650497002852,10
5,7680.946985801058,5703.946985801058,14
1,5684.69513648966,3129.6951364896604,23
2,17236.294077355276,10753.294077355275,138
3,34266.161194123575,28473.161194123575,64
4,12237.543575650601,9213.543575650601,26
5,8309.907275090127,6458.907275090127,27
1,7102.203988147416,3819.203988147416,36
2,15374.852303115233,11902.852303115233,104
3,36567.52400798034,29324.52400798034,119
4,11091.5340374474,9441.5340374474,10
5,11099.511258669709,8064.511258669709,25
1,5595.0557343543,3959.0557343542996,30
2,16613.34448941922,12674.34448941922,77
3,46722.770900650394,37505.770900650394,80
4,12079.18980084692,10937.18980084692,10
5,11346.47271693759,8388.47271693759,38
1,8765.159042181713,5171.159042181713,34
2,21773.849616970452,14797.849616970454,109
3,46749.07027352051,38492.07027352051,69
4,13141.498040083156,11178.498040083156,27
5,9653.007362989149,8697.007362989149,19
1,7250.745141414761,5630.745141414761,18
2,26492.993503529604,16086.993503529604,149
3,43311.883470219545,40098.883470219545,55
4,14033.347293368417,12162.347293368417,16
5,13706.449725389404,9499.449725389404,40
1,6695.699885282496,5916.699885282496,16
2,23617.500517919623,18548.500517919623,86
3,49212.22825261345,42222.22825261345,61
4,15378.602638309554,12442.602638309554,19
5,14301.0358604498,12538.0358604498,17
1,7726.581054427974,6178.581054427974,20
2,23344.74869129687,19693.74869129687,108
3,52320.067161591156,47567.067161591156,73
4,14194.403637367563,13350.403637367563,12
5,16570.955340157056,12568.955340157056,32
1,8608.342873176007,7186.342873176006,17
2,27690.230907222747,21498.230907222747,141
3,61816.59743240509,55824.59743240509,116
4,16552.051987925603,14639.051987925604,19
5,16396.404205274335,13146.404205274335,44
1,9094.185808515535,7203.1858085155345,37
2,30086.768352578398,23441.768352578398,103
3,71515.06206785172,59766.06206785172,126
4,16110.994374122545,14753.994374122545,13
5,15581.805150890737,13670.805150890737,38
1,8593.271057102585,7285.271057102586,18
2,28852.80604608415,24833.80604608415,62
3,69060.80362226086,62625.80362226087,144
4,17758.941238679727,16089.941238679727,10
5,16125.256686380575,13898.256686380575,34
1,10902.782919108045,7517.7829191080455,30
